id,period_id,company,title,description,duration,credit_hours,modality,location,capacity,is_active
WA051,2026_S2,Dianui AC,Dianui: huertos que nutren e inicio seguro,Promoción de huertos y prácticas de alimentación saludable desde etapas tempranas.,15,180,CLIN | Proyecto Solidario Línea,CCM,13,TRUE
WA052,2026_S2,De Aprendices Para Aprendices (DAPA),EcoAcción Mensual: Sembrando Conciencia,Actividades periódicas de educación ambiental y acción ecológica.,15,180,CLIN | Proyecto Solidario Línea,CCM,29,TRUE
WA053,2026_S2,De Aprendices Para Aprendices (DAPA),¡Mejora tu Inglés Compartiendo lo que Sabes!,Apoyo al aprendizaje del inglés mediante tutoría o intercambio de conocimientos.,15,180,CLIN | Proyecto Solidario Línea,CCM,13,TRUE
WA054,2026_S2,Contagiando Voluntad,Contagiando al caminar: Todo empieza aquí.,Proyecto de sensibilización y acompañamiento comunitario desde la acción cotidiana.,15,180,CLIP | Proyecto Solidario Mixto,CCM,28,TRUE
WA055,2026_S2,ComposTEC,ComposTEC,Iniciativa de composta y manejo responsable de residuos orgánicos en comunidad.,15,180,PSP | Proyecto Solidario Presencial,CCM,23,TRUE
WA056,2026_S2,Clínica legal de emprendimiento y acceso a la justicia,Clínica jurídica de emprendimiento y acceso a la justicia.,Asesoría legal para fortalecer emprendimientos y ampliar acceso a derechos.,15,180,CLIP | Proyecto Solidario Mixto,CCM,12,TRUE
WA057,2026_S2,Clínica Mexicana de Autismo y Alteraciones del Desarrollo A.C.,Apoyo en el desarrollo de habilidades de vida independiente para personas con Autismo,Acompañamiento para fortalecer autonomía y funcionamiento cotidiano.,10,120,PSP | Proyecto Solidario Presencial,CCM,14,TRUE
WA058,2026_S2,Clínica Mexicana de Autismo y Alteraciones del Desarrollo A.C.,Apoyo en el desarrollo de habilidades de vida independiente para personas con Autismo,Acompañamiento para fortalecer autonomía y funcionamiento cotidiano.,5,60,PSP | Proyecto Solidario Presencial,CCM,21,TRUE
WA059,2026_S2,Centro de escritura y comunidad Tlacoapa,Clases para infancia de Tlacoapa,Impartición de clases y actividades educativas para niñas y niños de Tlacoapa.,15,180,PSP | Proyecto Solidario Presencial,CCM,6,TRUE
WA060,2026_S2,Centro de Integración Sensorial,Educación integral para personas con Trastorno del Espectro Autista,Apoyo educativo con enfoque integral e inclusivo para personas con TEA.,15,180,CLIP | Proyecto Solidario Mixto,CCM,7,TRUE
WA061,2026_S2,Centro de Autonomía Personal y Social (CAPYS A.C.),Empoderando Vida Independiente para Personas con Discapacidad Intelectual,"Fortalecimiento de habilidades para autonomía, inclusión y participación social.",15,180,PSP | Proyecto Solidario Presencial,CCM,14,TRUE
WA062,2026_S2,Centro de Acción Social Copilco AC,Recorriendo un Sendero,Acompañamiento formativo o comunitario centrado en procesos de crecimiento y aprendizaje.,15,180,PSP | Proyecto Solidario Presencial,CCM,7,TRUE
WA063,2026_S2,"Centro Tanatológico y Traslado en Ambulancia con Calidad Humana, AC",Posicionar a CETAC con contenido digital,Creación de estrategia y materiales digitales para fortalecer la presencia de CETAC.,10,120,CLIP | Proyecto Solidario Mixto,CCM,23,TRUE
WA064,2026_S2,"Casa de Estudios, Investigación y Promoción del Buen Vivir Pjoxante A.C.",Sonidos que unen: acercando la música a las comunidades,Promoción de acceso a la música como herramienta de integración y expresión.,15,180,CLIP | Proyecto Solidario Mixto,CCM,22,TRUE
WA065,2026_S2,"Casa de Estudios, Investigación y Promoción del Buen Vivir Pjoxante A.C.",Manos a la Obra: Transformando Comunidades,Trabajo colaborativo para mejorar espacios o procesos comunitarios.,15,180,CLIP | Proyecto Solidario Mixto,CCM,19,TRUE
WA066,2026_S2,"Casa de Estudios, Investigación y Promoción del Buen Vivir Pjoxante A.C.",Contabilidad para el Bien Común: Fortaleciendo la Transparencia,Apoyo contable y administrativo para fortalecer claridad y rendición de cuentas.,15,180,CLIP | Proyecto Solidario Mixto,CCM,9,TRUE
WA067,2026_S2,"Casa de Estudios, Investigación y Promoción del Buen Vivir Pjoxante A.C.",¡Haz comunidad! (Diseños y Marketing digital),Creación de materiales visuales y estrategias de difusión para fortalecer comunidad.,15,180,CLIP | Proyecto Solidario Mixto,CCM,29,TRUE
WA068,2026_S2,CEPI (Comunidad Educativa y Psicopedagógica Integral),Manejo de redes y apoyo en la inclusión de personas con discapacidad,Gestión de redes sociales con enfoque de inclusión y sensibilización.,15,180,CLIP | Proyecto Solidario Mixto,CCM,9,TRUE
WA069,2026_S2,Bienestar Estudiantil,Bienestar en Acción,"Actividades orientadas a salud integral, autocuidado y bienestar comunitario.",15,180,PSP | Proyecto Solidario Presencial,CCM,26,TRUE
WA070,2026_S2,Asociación para Leer Escuchar Escribir y Recrear A C (iBbY México),La sociedad de las palabras. Xochimilco,"Proyecto de lectura, escritura o expresión cultural con enfoque comunitario en Xochimilco.",15,180,PSP | Proyecto Solidario Presencial,CCM,28,TRUE
WA071,2026_S2,Asociación para Leer Escuchar Escribir y Recrear A C (iBbY México),La sociedad de las palabras. Mixcoac y Roma-Condesa,"Proyecto de lectura, escritura o expresión cultural en Mixcoac y Roma-Condesa.",15,180,PSP | Proyecto Solidario Presencial,CCM,7,TRUE
WA072,2026_S2,Asociación mexicana de la enfermedad de Huntington IAP,"Ven a divertirte, impulsando tu imaginación y creatividad al desarrollar medios de difusión para dar a conocer nuestra labor de ser.",Creación de materiales de difusión creativos para comunicar la labor de la organización.,15,180,PSP | Proyecto Solidario Presencial,CCM,20,TRUE
WA073,2026_S2,Asociación mexicana de la enfermedad de Huntington IAP,Te invitamos a colaborar apoyando en actividades administrativas y contables.,"Apoyo operativo en tareas administrativas, financieras y organizativas.",15,180,PSP | Proyecto Solidario Presencial,CCM,5,TRUE
WA074,2026_S2,Asociación EXATEC STEAM,Mentes sin límites... el camino STEM (continuación),"Continuación de actividades STEM para inspirar aprendizaje, creatividad e innovación.",15,180,CLIN | Proyecto Solidario Línea,CCM,30,TRUE
WA075,2026_S2,Arte y Cultura con Impacto Social,Arte y Cultura con Impacto Social,Uso de expresiones artísticas y culturales para generar transformación comunitaria.,15,180,PSP | Proyecto Solidario Presencial,CCM,6,TRUE
WA076,2026_S2,AMPRE-Maiasa,21 Días: Celebrando la Diversidad,Proyecto de sensibilización y actividades para reconocer y celebrar la diversidad.,15,180,CLIP | Proyecto Solidario Mixto,CCM,11,TRUE
WA077,2026_S2,AMPRE,"Sociedad inclusiva, Persona integrada",Promoción de inclusión social y participación plena de las personas en comunidad.,15,180,PSP | Proyecto Solidario Presencial,CCM,20,TRUE
